Title|Author|Genre
हिरण्यगर्भ कहाणी ब्रह्मांडनायकाची श्री स्वामी समर्थांची | सखाराम आठवले | अध्यात्म / चरित्र
पापड आणि फेसबूक | सुधीर सुखटणकर | व्यंग / विनोद
जाणता अजाणता .. आयुष्याचे दिलेले घडे | अनुपम खेर (अनुवाद: सानिया वकील) | आत्मकथा
मी बोलतोय... | डॉ. सुनीलशशिकांत काळे | आत्मकथा / प्रेरणादायी
कॅकोडेसिया | सुधीर सुखटणकर | व्यंग / कादंबरी
ओस झाल्या दिशा | ज्योत्सना देवघर | कथासंग्रह
असे नवरे अशा बायका | वि. आ. बुवा | विनोदी कथा
बैठकीच्या कहाण्या | शरद वर्दे | व्यंग / अनुभवकथन
संक्रमण | नारायण धारप | विज्ञानकथा / थरार
माघार | शैलजा राजे | सामाजिक कादंबरी
पाऊलवाटे वरले गांव | आशा बागे | ग्रामीण कथा
मनाच्या तळाशी | गिरिजा कीर | रहस्य / सामाजिक कथा
आलेख | रणजित देसाई | ऐतिहासिक कादंबरी
पंचतारांकित | प्रिया तेंडुलकर | व्यंग / नाट्यलेखन
श्यामिनी | तारा वनारसे | सामाजिक कादंबरी
अक्षयधन | डॉ. सुनील शशिकांत काळे | प्रेरणादायी / निबंध
प्रार्थना.. एक गवाक्ष | डॉ. सुनील शशिकांत काळे | कविता / प्रेरणादायी
सरकारी मुसलमान | ले. जनरल (निवृत्त) जमीरशाह | आत्मकथा / लष्करी अनुभव
मर्म | चंद्रशेखर गोखले | निबंध / आत्मचिंतन
घडले म्हणून लिहिले | वि. आ. जुवा | आत्मचरित्रात्मक लेखन
चेटकीण | नारायण धारप | रहस्य / भयकथा
झोंबी | आनंद यादव | ग्रामीण कादंबरी
मोहनमाळ | चंद्रशेखर गोखले | आत्मचरित्रात्मक लेखन
तिघी | राजेन्द्र बनहट्टी | सामाजिक कादंबरी
गाभाऱ्यातील माणसं | गिरिजा कीर | रहस्य / सामाजिक कथा
के कनेक्शन्स | प्रणव सुखदेव | रहस्य / थरार
केवल कांचन | तारा वनारसे | सामाजिक कादंबरी
डायना आणि चार्ल्स | मीना प्रभू | चरित्र / प्रवासवर्णन
एक भारावले लीं भ्रमंती | श्रीकांत पवनीकर | प्रवासवर्णन
वर्दीतल्या माणसाच्या नोंदी | सदानंद दाते | आत्मकथा / पोलिस अनुभव
शेलका साज | शिवाजी सावंत | ऐतिहासिक / सामाजिक कथा
एक झुंज वार्‍याशी | पु. ल. देशपांडे | आत्मकथा
What Shape Are You | Sneha Shah, Dr. Dellinger | स्व-विकास / मानसशास्त्र
